  lambda  val_accuracy  iteration
0.003527      0.520880       14.0
0.009437      0.514879        3.0
0.004391      0.514629       16.0
0.004240      0.512878       20.0
0.002478      0.512378        2.0
0.005397      0.512128       13.0
0.008290      0.512128       11.0
0.008363      0.510378       15.0
0.002996      0.507377       18.0
0.004074      0.506127       12.0
0.006934      0.504626       17.0
0.004151      0.504626       19.0
0.018624      0.504376        7.0
0.020749      0.502876        9.0
0.014437      0.498375       10.0
0.031645      0.490623        1.0
0.040199      0.490123        4.0
0.032798      0.489872        8.0
0.038753      0.484871        5.0
0.044138      0.479870        6.0
