   lambda  accuracy, validation  iteration
 0.003038              0.533507       12.0
 0.002787              0.528906       15.0
 0.002607              0.528706       16.0
 0.003066              0.527105       13.0
 0.002996              0.526905       20.0
 0.003102              0.525105       18.0
 0.003084              0.524905       11.0
 0.003087              0.523905       17.0
 0.002671              0.523705       14.0
 0.003020              0.521504       19.0
 0.002548              0.518504        3.0
 0.003113              0.518304        5.0
 0.002491              0.517704        6.0
 0.004245              0.516903        8.0
 0.001224              0.516703        9.0
 0.003150              0.516103        2.0
 0.004126              0.515703        4.0
 0.003723              0.515103        7.0
 0.001226              0.513503       10.0
 0.004764              0.512102        1.0
